service_type,service_sub_type,bank_scope,detail_category,answer_type,sequence,question_text
Valuation of asset,Land,,Part A - GENERAL,Text,13,Landmark of the property with Location map
Valuation of asset,Land,,Part A - GENERAL,Text,17,In case it is an agricultural land any conversion to house site plots is contemplated/thought
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Checkbox,2,Land use of property - as per ownership document
Valuation of asset,Land,,Part A - GENERAL,Radio,19,Type (land use) of property - actual at site
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Checkbox,3,Land use of property - as per latest document of Government approving agency
Valuation of asset,Land,,Part A - GENERAL,Text,21,Property/Asset best suited for - as per ownership document
Valuation of asset,Land,,Part A - GENERAL,Text,22,Property/Asset best suited for - as per approval/permission
Valuation of asset,Land,,Part A - GENERAL,Text,23,Property/Asset best suited for - actual at site
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Checkbox,4,Land use of property - as per Search Report or TIR document
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Tabular,5,Boundaries of the property offered - as per document
Valuation of asset,Land,,Part A - GENERAL,Tabular,27,Boundaries of the property - actual at site
Valuation of asset,Land,,Part A - GENERAL,Text,28,Deviation in boundaries if any
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Tabular,6,Dimensions of the site(offered) - as per document
Valuation of asset,Land,,Part A - GENERAL,Tabular,30,Dimensions of the site - actual at site
Valuation of asset,Land,,Part A - GENERAL,Text,31,Deviation in dimensions if any
Valuation of asset,Land,,Part A - GENERAL,Text,32,Cordinates (Latitude/Longitude) of site
Valuation of asset,Land,,Part A - GENERAL,Text,33,Extend of site
Valuation of asset,Land,,Part A - GENERAL,Text,34,Extend of site considered for valuation
Valuation of asset,Land,,Part A - GENERAL,Radio,35,Whether occupied by the Owner/Tenant
Valuation of asset,Land,,Part A - GENERAL,Tabular,36,Occupied details (if by tenant)
Valuation of asset,Land,,Part B - CHARACTERISTIC OF THE SITE,Checkbox,2,Development of surrounding area done by
Valuation of asset,Land,,Part C - VALUATION OF LAND,Checkbox,1,Level/contour of Land with topographical conditions
Valuation of asset,Land,,Part C - VALUATION OF LAND,Text,2,Distance from Sea Coast / river / Nala / Lake
Valuation of asset,Land,,Part C - VALUATION OF LAND,Checkbox,3,Shape & soil type of land
Valuation of asset,Land,,Part C - VALUATION OF LAND,Text,4,Type of use to which it can be put
Valuation of asset,Land,,Part C - VALUATION OF LAND,Radio,8,Road facilities
Valuation of asset,Land,,Part C - VALUATION OF LAND,Radio,9,Type of road available at present
Valuation of asset,Land,,Part C - VALUATION OF LAND,Radio,10,Means of surface commutation to reach site
Valuation of asset,Land,,Part C - VALUATION OF LAND,Radio,11,Width of road
Valuation of asset,Land,,Part C - VALUATION OF LAND,Checkbox,13,Water Potential
Valuation of asset,Land,,Part C - VALUATION OF LAND,Radio,14,Underground sewerage system
Valuation of asset,Land,,Part C - VALUATION OF LAND,Checkbox,15,Power supply availability at site
Valuation of asset,Land,,Part C - VALUATION OF LAND,Checkbox,16,Telecommunication availability
Valuation of asset,Land,,Part C - VALUATION OF LAND,Checkbox,17,Advantage of the site
Valuation of asset,Land,,Part C - VALUATION OF LAND,Text,18,Disadvantages of the site
Valuation of asset,Land,,Part C - VALUATION OF LAND,Text,18,Prevailing market rate
Valuation of asset,Land,,Part C - VALUATION OF LAND,Text,21,Government valuation of land
Valuation of asset,Land,,Part C - VALUATION OF LAND,Text,22,Assessed/adopted rate of land valuation
Valuation of asset,Land,,Part B - CHARACTERISTIC OF THE SITE,Text,6,Assessed / Estimated Value of Land
Valuation of asset,Land,,PART B - PRE-SITE VISIT,Radio,23,Corner plot or intermittent plot?
Valuation of asset,Land,,Part B - CHARACTERISTIC OF THE SITE,Text,7,Special remarks
Valuation of asset,L & B,,Part M - GUIDE LINE VALUE OF PROPERTY,Sum of Attribute,1,Guide Line Value
Valuation of asset,Land,,Part J - SERVICES,Sum of Attribute,1,Services
Valuation of asset,Land,,Part L - TOTAL ABSTRACT,Sum of Attribute,1,Total Abstract of the Entire Property
Valuation of asset,Land,,Part M - GUIDE LINE VALUE OF PROPERTY,Text,1,Collector Guide Line Value
Valuation of asset,Land,,Part N - VALUER COMMENT,Text,2,Was property valued earlier
Valuation of asset,Land,,Part C - VALUATION OF LAND,Text,25,Total extent of the plot
Valuation of asset,Land,,Part C - VALUATION OF LAND,Tabular,24,Size of plot
Valuation of asset,Land,,Part C - VALUATION OF LAND,Text,26,Estimated value of land
